# B1 - Intermediate Level Words (CEFR B1)
# Format: english|category|partOfSpeech
# Intermediate vocabulary for confident everyday communication
# Abstract Concepts & General
consistent|Adjectives|adjective
constant|Adjectives|adjective
contemporary|Adjectives|adjective
controversial|Adjectives|adjective
conventional|Adjectives|adjective
convincing|Adjectives|adjective
corporate|Adjectives|adjective
crucial|Adjectives|adjective
cultural|Adjectives|adjective
current|Adjectives|adjective
democratic|Adjectives|adjective
dependent|Adjectives|adjective
desperate|Adjectives|adjective
digital|Adjectives|adjective
domestic|Adjectives|adjective
dramatic|Adjectives|adjective
efficient|Adjectives|adjective
electronic|Adjectives|adjective
emotional|Adjectives|adjective
enormous|Adjectives|adjective
environmental|Adjectives|adjective
equivalent|Adjectives|adjective
essential|Adjectives|adjective
ethnic|Adjectives|adjective
eventual|Adjectives|adjective
evident|Adjectives|adjective
exact|Adjectives|adjective
excessive|Adjectives|adjective
exclusive|Adjectives|adjective
executive|Adjectives|adjective
existing|Adjectives|adjective
extraordinary|Adjectives|adjective
extreme|Adjectives|adjective
familiar|Adjectives|adjective
fatal|Adjectives|adjective
federal|Adjectives|adjective
fierce|Adjectives|adjective
financial|Adjectives|adjective
flexible|Adjectives|adjective
formal|Adjectives|adjective
former|Adjectives|adjective
frequent|Adjectives|adjective
fundamental|Adjectives|adjective
generous|Adjectives|adjective
genuine|Adjectives|adjective
global|Adjectives|adjective
gradual|Adjectives|adjective
guilty|Adjectives|adjective
harsh|Adjectives|adjective
historic|Adjectives|adjective
hostile|Adjectives|adjective
ideal|Adjectives|adjective
illegal|Adjectives|adjective
immediate|Adjectives|adjective
impressive|Adjectives|adjective
incredible|Adjectives|adjective
independent|Adjectives|adjective
inevitable|Adjectives|adjective
informal|Adjectives|adjective
initial|Adjectives|adjective
inner|Adjectives|adjective
innovative|Adjectives|adjective
intellectual|Adjectives|adjective
intense|Adjectives|adjective
internal|Adjectives|adjective
invisible|Adjectives|adjective
involved|Adjectives|adjective
isolated|Adjectives|adjective
keen|Adjectives|adjective
latter|Adjectives|adjective
leading|Adjectives|adjective
legal|Adjectives|adjective
liberal|Adjectives|adjective
limited|Adjectives|adjective
logical|Adjectives|adjective
magnificent|Adjectives|adjective
manual|Adjectives|adjective
maximum|Adjectives|adjective
mental|Adjectives|adjective
military|Adjectives|adjective
minimum|Adjectives|adjective
minor|Adjectives|adjective
moderate|Adjectives|adjective
moral|Adjectives|adjective
mutual|Adjectives|adjective
narrow|Adjectives|adjective
nationwide|Adjectives|adjective
native|Adjectives|adjective
negative|Adjectives|adjective
neutral|Adjectives|adjective
noble|Adjectives|adjective
numerous|Adjectives|adjective
obvious|Adjectives|adjective
official|Adjectives|adjective
ongoing|Adjectives|adjective
operational|Adjectives|adjective
opposed|Adjectives|adjective
ordinary|Adjectives|adjective
original|Adjectives|adjective
outstanding|Adjectives|adjective
overall|Adjectives|adjective
overwhelming|Adjectives|adjective
partial|Adjectives|adjective
particular|Adjectives|adjective
passive|Adjectives|adjective
permanent|Adjectives|adjective
physical|Adjectives|adjective
pleasant|Adjectives|adjective
political|Adjectives|adjective
positive|Adjectives|adjective
powerful|Adjectives|adjective
practical|Adjectives|adjective
precise|Adjectives|adjective
primary|Adjectives|adjective
primitive|Adjectives|adjective
principal|Adjectives|adjective
productive|Adjectives|adjective
professional|Adjectives|adjective
progressive|Adjectives|adjective
prominent|Adjectives|adjective
psychological|Adjectives|adjective
pure|Adjectives|adjective
racial|Adjectives|adjective
radical|Adjectives|adjective
random|Adjectives|adjective
rapid|Adjectives|adjective
rational|Adjectives|adjective
realistic|Adjectives|adjective
reasonable|Adjectives|adjective
relevant|Adjectives|adjective
reluctant|Adjectives|adjective
remarkable|Adjectives|adjective
remote|Adjectives|adjective
representative|Adjectives|adjective
respective|Adjectives|adjective
reverse|Adjectives|adjective
revolutionary|Adjectives|adjective
rival|Adjectives|adjective
rural|Adjectives|adjective
sacred|Adjectives|adjective
sensitive|Adjectives|adjective
separate|Adjectives|adjective
severe|Adjectives|adjective
shallow|Adjectives|adjective
sharp|Adjectives|adjective
significant|Adjectives|adjective
slight|Adjectives|adjective
smooth|Adjectives|adjective
social|Adjectives|adjective
solar|Adjectives|adjective
solid|Adjectives|adjective
sophisticated|Adjectives|adjective
spare|Adjectives|adjective
specific|Adjectives|adjective
stable|Adjectives|adjective
steady|Adjectives|adjective
strategic|Adjectives|adjective
strict|Adjectives|adjective
subsequent|Adjectives|adjective
substantial|Adjectives|adjective
subtle|Adjectives|adjective
sufficient|Adjectives|adjective
suitable|Adjectives|adjective
superior|Adjectives|adjective
supreme|Adjectives|adjective
temporary|Adjectives|adjective
theoretical|Adjectives|adjective
tiny|Adjectives|adjective
tough|Adjectives|adjective
tropical|Adjectives|adjective
typical|Adjectives|adjective
ultimate|Adjectives|adjective
unexpected|Adjectives|adjective
uniform|Adjectives|adjective
unique|Adjectives|adjective
universal|Adjectives|adjective
unlikely|Adjectives|adjective
unusual|Adjectives|adjective
upper|Adjectives|adjective
urban|Adjectives|adjective
urgent|Adjectives|adjective
vast|Adjectives|adjective
virtual|Adjectives|adjective
visible|Adjectives|adjective
vital|Adjectives|adjective
voluntary|Adjectives|adjective
vulnerable|Adjectives|adjective
widespread|Adjectives|adjective
worthy|Adjectives|adjective
# B1 Verbs
abandon|Actions|verb
absorb|Actions|verb
accompany|Actions|verb
accomplish|Actions|verb
accumulate|Actions|verb
acquire|Actions|verb
adapt|Actions|verb
adjust|Actions|verb
admire|Actions|verb
adopt|Actions|verb
afford|Actions|verb
aim|Actions|verb
alter|Actions|verb
amuse|Actions|verb
analyze|Actions|verb
anticipate|Actions|verb
appeal|Actions|verb
arise|Actions|verb
assign|Actions|verb
associate|Actions|verb
assume|Actions|verb
assure|Actions|verb
ban|Actions|verb
bargain|Actions|verb
bear|Actions|verb
bind|Actions|verb
bet|Actions|verb
boost|Actions|verb
borrow|Actions|verb
capture|Actions|verb
celebrate|Actions|verb
circulate|Actions|verb
classify|Actions|verb
coach|Actions|verb
collapse|Actions|verb
commit|Actions|verb
communicate|Actions|verb
compare|Actions|verb
compete|Actions|verb
compose|Actions|verb
concentrate|Actions|verb
conduct|Actions|verb
confess|Actions|verb
confront|Actions|verb
confuse|Actions|verb
connect|Actions|verb
conquer|Actions|verb
consult|Actions|verb
consume|Actions|verb
convert|Actions|verb
cooperate|Actions|verb
cope|Actions|verb
declare|Actions|verb
defeat|Actions|verb
define|Actions|verb
defend|Actions|verb
deliver|Actions|verb
demonstrate|Actions|verb
derive|Actions|verb
detect|Actions|verb
determine|Actions|verb
devote|Actions|verb
display|Actions|verb
distinguish|Actions|verb
distribute|Actions|verb
dominate|Actions|verb
draft|Actions|verb
edit|Actions|verb
elect|Actions|verb
eliminate|Actions|verb
embrace|Actions|verb
emerge|Actions|verb
emphasize|Actions|verb
enable|Actions|verb
encounter|Actions|verb
engage|Actions|verb
enhance|Actions|verb
ensure|Actions|verb
exhibit|Actions|verb
expand|Actions|verb
exploit|Actions|verb
expose|Actions|verb
extend|Actions|verb
extract|Actions|verb
facilitate|Actions|verb
finance|Actions|verb
flee|Actions|verb
flourish|Actions|verb
forbid|Actions|verb
forecast|Actions|verb
found|Actions|verb
frustrate|Actions|verb
fulfill|Actions|verb
generate|Actions|verb
govern|Actions|verb
grasp|Actions|verb
illustrate|Actions|verb
implement|Actions|verb
imply|Actions|verb
impose|Actions|verb
incorporate|Actions|verb
indicate|Actions|verb
inherit|Actions|verb
inspect|Actions|verb
install|Actions|verb
integrate|Actions|verb
interpret|Actions|verb
intervene|Actions|verb
isolate|Actions|verb
justify|Actions|verb
label|Actions|verb
liberate|Actions|verb
modify|Actions|verb
monitor|Actions|verb
neglect|Actions|verb
negotiate|Actions|verb
nominate|Actions|verb
obey|Actions|verb
observe|Actions|verb
overcome|Actions|verb
overlook|Actions|verb
perceive|Actions|verb
persist|Actions|verb
please|Actions|verb
portray|Actions|verb
possess|Actions|verb
poverty|Actions|noun
praise|Actions|verb
precede|Actions|verb
preserve|Actions|verb
prevail|Actions|verb
promote|Actions|verb
pursue|Actions|verb
qualify|Actions|verb
quote|Actions|verb
rate|Actions|verb
reckon|Actions|verb
recruit|Actions|verb
reduce|Actions|verb
reform|Actions|verb
refuse|Actions|verb
regulate|Actions|verb
reinforce|Actions|verb
reject|Actions|verb
render|Actions|verb
renew|Actions|verb
replace|Actions|verb
reproduce|Actions|verb
rescue|Actions|verb
reserve|Actions|verb
resign|Actions|verb
resolve|Actions|verb
retain|Actions|verb
retreat|Actions|verb
reunite|Actions|verb
sacrifice|Actions|verb
secure|Actions|verb
seize|Actions|verb
shift|Actions|verb
specify|Actions|verb
sponsor|Actions|verb
stimulate|Actions|verb
strike|Actions|verb
submit|Actions|verb
substitute|Actions|verb
summarize|Actions|verb
suspend|Actions|verb
sustain|Actions|verb
tackle|Actions|verb
target|Actions|verb
terminate|Actions|verb
trigger|Actions|verb
undergo|Actions|verb
undertake|Actions|verb
unite|Actions|verb
urge|Actions|verb
utilize|Actions|verb
violate|Actions|verb
withdraw|Actions|verb
witness|Actions|verb
yield|Actions|verb
# B1 Common Phrases
as a matter of fact|Common Phrases|phrase
as far as I know|Common Phrases|phrase
by the way|Common Phrases|phrase
first of all|Common Phrases|phrase
for instance|Common Phrases|phrase
in addition|Common Phrases|phrase
in case|Common Phrases|phrase
in fact|Common Phrases|phrase
in general|Common Phrases|phrase
in order to|Common Phrases|phrase
in particular|Common Phrases|phrase
in spite of|Common Phrases|phrase
in terms of|Common Phrases|phrase
instead of|Common Phrases|phrase
it depends|Common Phrases|phrase
more or less|Common Phrases|phrase
no wonder|Common Phrases|phrase
not only but also|Common Phrases|phrase
on behalf of|Common Phrases|phrase
on the one hand|Common Phrases|phrase
on the other hand|Common Phrases|phrase
sooner or later|Common Phrases|phrase
to be honest|Common Phrases|phrase
to some extent|Common Phrases|phrase
what is more|Common Phrases|phrase
as a result|Common Phrases|phrase
at least|Common Phrases|phrase
due to|Common Phrases|phrase
for the sake of|Common Phrases|phrase
however|Common Phrases|phrase
in contrast|Common Phrases|phrase
in other words|Common Phrases|phrase
meanwhile|Common Phrases|phrase
nevertheless|Common Phrases|phrase
on the contrary|Common Phrases|phrase
otherwise|Common Phrases|phrase
provided that|Common Phrases|phrase
regardless of|Common Phrases|phrase
therefore|Common Phrases|phrase
whereas|Common Phrases|phrase
whether or not|Common Phrases|phrase
# Environment & Ecology
pollution|Nature|noun
recycling|Nature|noun
waste|Nature|noun
renewable|Nature|adjective
sustainable|Nature|adjective
conservation|Nature|noun
deforestation|Nature|noun
carbon footprint|Nature|noun
greenhouse effect|Nature|noun
global warming|Nature|noun
ozone layer|Nature|noun
biodiversity|Nature|noun
emission|Nature|noun
organic|Nature|adjective
pesticide|Nature|noun
fertilizer|Nature|noun
irrigation|Nature|noun
harvest|Nature|noun
crop|Nature|noun
livestock|Nature|noun
agriculture|Nature|noun
soil|Nature|noun
erosion|Nature|noun
flood|Nature|noun
earthquake|Nature|noun
volcanic eruption|Nature|noun
# Media & Information
journalist|Communication|noun
editor|Communication|noun
publisher|Communication|noun
broadcast|Communication|noun
channel|Communication|noun
press|Communication|noun
media|Communication|noun
advertising|Communication|noun
propaganda|Communication|noun
censorship|Communication|noun
correspondent|Communication|noun
headline|Communication|noun
column|Communication|noun
editorial|Communication|noun
subscription|Communication|noun
circulation|Communication|noun
tabloid|Communication|noun
podcast|Communication|noun
streaming|Communication|noun
content|Communication|noun
# Transportation extended
commute|Travel|noun
congestion|Travel|noun
intersection|Travel|noun
roundabout|Travel|noun
overpass|Travel|noun
underpass|Travel|noun
highway|Travel|noun
freeway|Travel|noun
toll|Travel|noun
speed limit|Travel|noun
parking lot|Travel|noun
garage|Travel|noun
fuel|Travel|noun
engine|Travel|noun
steering wheel|Travel|noun
brake|Travel|noun
accelerator|Travel|noun
clutch|Travel|noun
gear|Travel|noun
mirror|Travel|noun
trunk|Travel|noun
hood|Travel|noun
tire|Travel|noun
windshield|Travel|noun
seatbelt|Travel|noun
airbag|Travel|noun
navigation|Travel|noun
traffic jam|Travel|noun
detour|Travel|noun
shortcut|Travel|noun
pedestrian crossing|Travel|noun
# Housing & Real Estate
apartment|Home|noun
condominium|Home|noun
penthouse|Home|noun
cottage|Home|noun
mansion|Home|noun
villa|Home|noun
cabin|Home|noun
bungalow|Home|noun
studio|Home|noun
landlord|Home|noun
tenant|Home|noun
lease|Home|noun
mortgage|Home|noun
renovation|Home|noun
foundation|Home|noun
plumbing|Home|noun
electricity|Home|noun
insulation|Home|noun
ventilation|Home|noun
# IT & Development (Intermediate)
algorithm|IT & Development|noun
framework|IT & Development|noun
frontend|IT & Development|noun
backend|IT & Development|noun
deployment|IT & Development|noun
repository|IT & Development|noun
branch|IT & Development|noun
merge|IT & Development|verb
compile|IT & Development|verb
debug|IT & Development|verb
API|IT & Development|noun
endpoint|IT & Development|noun
authentication|IT & Development|noun
encryption|IT & Development|noun
firewall|IT & Development|noun
bandwidth|IT & Development|noun
latency|IT & Development|noun
scalability|IT & Development|noun
infrastructure|IT & Development|noun
microservice|IT & Development|noun
container|IT & Development|noun
virtual machine|IT & Development|noun
open source|IT & Development|adjective
full stack|IT & Development|adjective
# Business Analysis (Intermediate)
use case|Business Analysis|noun
user story|Business Analysis|noun
acceptance criteria|Business Analysis|noun
backlog|Business Analysis|noun
feasibility|Business Analysis|noun
gap analysis|Business Analysis|noun
benchmark|Business Analysis|noun
KPI|Business Analysis|noun
ROI|Business Analysis|noun
swot analysis|Business Analysis|noun
business rule|Business Analysis|noun
data flow|Business Analysis|noun
prototype|Business Analysis|noun
mockup|Business Analysis|noun
validation|Business Analysis|noun
# Project Management (Intermediate)
agile|Project Management|adjective
scrum|Project Management|noun
sprint|Project Management|noun
kanban|Project Management|noun
waterfall|Project Management|noun
retrospective|Project Management|noun
standup|Project Management|noun
blocking issue|Project Management|noun
dependency|Project Management|noun
critical path|Project Management|noun
project charter|Project Management|noun
stakeholder management|Project Management|noun
change request|Project Management|noun
quality assurance|Project Management|noun
risk assessment|Project Management|noun

active duty|Work & Career|noun
advance|General|verb
advocate|General|noun
affect|General|verb
agency|Work & Career|noun
allocate|Business & Finance|verb
amateur|General|noun
ambitious|General|adjective
amend|General|verb
analyse|General|verb
announce|General|verb
appetite|Health|noun
apply for|Work & Career|phrase
appreciate|General|verb
approve|General|verb
apt|General|adjective
arise from|General|phrase
arrangement|General|noun
arrogant|General|adjective
assess|General|verb
asset|Business & Finance|noun
assist|General|verb
atmosphere|Science|noun
audience|General|noun
available|General|adjective
average|General|adjective
basically|General|adverb
behaviour|General|noun
benefit|General|noun
biological|Science|adjective
budget|Business & Finance|noun
career|Work & Career|noun
certain|General|adjective
character|General|noun
claim|General|verb
colleague|Work & Career|noun
collect|General|verb
conclude|General|verb
confirm|General|verb
consider|General|verb
construct|General|verb
contribute|General|verb
convince|General|verb
coordinate|General|verb
court|General|noun
criticize|General|verb
deadline|Work & Career|noun
deal with|General|phrase
debate|General|noun
delay|General|noun
deny|General|verb
describe|General|verb
deserve|General|verb
despite|General|preposition
differ|General|verb
difficulty|General|noun
distinct|General|adjective
diversity|General|noun
earn|Business & Finance|verb
economic|Business & Finance|adjective
educate|Education|verb
effective|General|adjective
employ|Work & Career|verb
encourage|General|verb
enforce|General|verb
entire|General|adjective
establish|General|verb
estimate|General|verb
evaluate|General|verb
examine|General|verb
exchange|General|verb
experiment|Science|noun
explicit|General|adjective
extensive|General|adjective
external|General|adjective
facility|General|noun
feedback|Work & Career|noun
gradually|General|adverb
guarantee|General|verb
guidance|General|noun
handle|General|verb
highlight|General|verb
hypothesis|Science|noun
identify|General|verb
improve|General|verb
initially|General|adverb
insight|General|noun
inspire|General|verb
interact|General|verb
invest|Business & Finance|verb
involve|General|verb
lifestyle|General|noun
likelihood|General|noun
maintain|General|verb
manage|General|verb
mention|General|verb
moreover|General|adverb
motivation|General|noun
obtain|General|verb
obviously|General|adverb
occur|General|verb
oppose|General|verb
organize|General|verb
overlap|General|verb
participant|General|noun
partner|General|noun
pension|Business & Finance|noun
perform|General|verb
prevent|Health|verb
previously|General|adverb
propose|General|verb
provide|General|verb
publish|General|verb
qualified|Work & Career|adjective
quality|General|noun
raise|General|verb
recognize|General|verb
refer|General|verb
reflect|General|verb
regardless|General|adverb
reliable|General|adjective
research|Education|noun
respond|General|verb
responsible|General|adjective
restrict|General|verb
reveal|General|verb
revenue|Business & Finance|noun
review|General|verb
routine|General|noun
scale|General|noun
scenario|General|noun
schedule|Work & Career|noun
sector|Work & Career|noun
similar|General|adjective
statistics|General|noun
struggle|General|verb
suggest|General|verb
summary|General|noun
throughout|General|preposition
transform|General|verb
treatment|Health|noun
ultimately|General|adverb
update|General|verb
willing|General|adjective
workforce|Work & Career|noun
academic|Education|adjective
accountability|General|noun
acute|Health|adjective
administration|General|noun
affordable|Business & Finance|adjective
anxiety|Health|noun
approximately|General|adverb
arbitration|General|noun
assignment|Education|noun
assumption|General|noun
balance|General|noun
capability|General|noun
chronic|Health|adjective
clarify|General|verb
cognitive|General|adjective
collaboration|Work & Career|noun
commence|General|verb
competition|General|noun
compliance|General|noun
correlation|Science|noun
criteria|General|noun
curriculum|Education|noun
dedication|General|noun
deficiency|Health|noun
deliberate|General|adjective
destination|Travel|noun
discipline|Education|noun
discrimination|General|noun
domain|General|noun
eligibility|General|noun
enterprise|Business & Finance|noun
ethical|General|adjective
exceed|General|verb
expertise|Work & Career|noun
frequency|General|noun
furthermore|General|adverb
heritage|General|noun
humanitarian|General|adjective
ideology|General|noun
implication|General|noun
income|Business & Finance|noun
inequality|General|noun
integration|General|noun
integrity|General|noun
intervention|Health|noun
investigation|General|noun
labor|Work & Career|noun
legislation|General|noun
loyalty|General|noun
migration|General|noun
obligation|General|noun
portfolio|Business & Finance|noun
proficiency|Education|noun
psychology|Health|noun
recognition|General|noun
regulation|General|noun
relationship|General|noun
reputation|General|noun
resolution|General|noun
shortage|General|noun
simulation|Science|noun
specification|General|noun
sustainability|Science|noun
transparency|General|noun
uncertainty|General|noun
variable|Science|noun
violation|General|noun

abolish|General|verb
accommodation|Travel|noun
acknowledgment|General|noun
adaptation|General|noun
addiction|Health|noun
aftermath|General|noun
aggression|General|noun
alleviate|Health|verb
allocation|Business & Finance|noun
ambiguity|General|noun
anonymous|General|adjective
anticipation|General|noun
arbitrary|General|adjective
architecture|General|noun
aspiration|General|noun
autonomous|General|adjective
bias|General|noun
breakdown|General|noun
broadband|Technology|noun
bureaucracy|General|noun
campaign|General|noun
census|General|noun
circular|General|adjective
civic|General|adjective
climate|Science|noun
coalition|General|noun
coherence|General|noun
coincidence|General|noun
collaborative|Work & Career|adjective
commodity|Business & Finance|noun
compensation|Business & Finance|noun
compilation|General|noun
complexity|General|noun
conception|General|noun
confrontation|General|noun
consolidation|Business & Finance|noun
context|General|noun
contradiction|General|noun
conviction|General|noun
corruption|General|noun
counseling|Health|noun
credibility|General|noun
critical thinking|Education|noun
curiosity|Education|noun
cutting-edge|Technology|adjective
deliberation|General|noun
democracy|General|noun
deprivation|General|noun
disposal|General|noun
drought|Science|noun
duplication|General|noun
earnings|Business & Finance|noun
ecosystem|Science|noun
elimination|General|noun
empathy|General|noun
empowerment|General|noun
enforcement|General|noun
epidemic|Health|noun
equality|General|noun
exclusion|General|noun
exhibition|General|noun
expectation|General|noun
exploitation|General|noun
extension|General|noun
extinction|Science|noun
flexibility|General|noun
fossil|Science|noun
fragile|General|adjective
freelance|Work & Career|adjective
frustration|General|noun
fulfillment|General|noun
funding|Business & Finance|noun
generosity|General|noun
globalization|General|noun
governance|General|noun
graphic|Technology|noun
greenhouse gas|Science|noun
groundbreaking|General|adjective
hardship|General|noun
harassment|Work & Career|noun
hierarchy|Work & Career|noun
honesty|General|noun
housing|General|noun
identification|General|noun
incentive|Business & Finance|noun
inflation|Business & Finance|noun
interpretation|General|noun
isolation|Health|noun
landfill|Science|noun
leadership|Work & Career|noun
limitation|General|noun
living standard|General|noun
local government|General|noun
loneliness|Health|noun
long-term|General|adjective
mainstream|General|adjective
manipulation|General|noun
mindset|General|noun
misunderstanding|General|noun
multicultural|General|adjective
narrative|General|noun
negotiation|Business & Finance|noun
neutrality|General|noun
occupation|Work & Career|noun
opposition|General|noun
partnership|Business & Finance|noun
persecution|General|noun
persuasion|General|noun
prejudice|General|noun
pressure|General|noun
privatization|Business & Finance|noun
productivity|Work & Career|noun
prosperity|Business & Finance|noun
protection|General|noun
publication|Education|noun
race|General|noun
recession|Business & Finance|noun
reforming|General|verb
rejection|General|noun
representation|General|noun
resilience|General|noun
revolution|General|noun
rights|General|noun
sanitation|Health|noun
satisfaction|General|noun
segregation|General|noun
simultaneously|General|adverb
skepticism|General|noun
social media|Technology|noun
solidarity|General|noun
sovereignty|General|noun
species|Science|noun
standard of living|General|noun
stereotype|General|noun
stimulus|General|noun
subsidy|Business & Finance|noun
taxation|Business & Finance|noun
technology|Technology|noun
territory|General|noun
transformation|General|noun
transport infrastructure|Travel|noun
unemployment|Work & Career|noun
urban planning|General|noun
vaccination|Health|noun
vulnerability|General|noun
acknowledgement|General|noun
alienation|General|noun
ambivalence|General|noun
amplification|General|noun
appraisal|Work & Career|noun
artificial intelligence|Technology|noun
automation|Technology|noun
behavioral|Health|adjective
benchmarking|Work & Career|noun
certification|Work & Career|noun
civic engagement|General|noun
co-operation|General|noun
competence|General|noun
conflict resolution|Work & Career|noun
consumption|General|noun
continuous improvement|Work & Career|noun
contractual|Work & Career|adjective
cross-cultural|General|adjective
demographic|General|noun
differentiation|Business & Finance|noun
digital literacy|Education|noun
diversity training|Work & Career|noun
e-commerce|Technology|noun
entrepreneurship|Business & Finance|noun
evidence-based|Education|adjective
first aid|Health|noun
food security|General|noun
foreign policy|General|noun
gig economy|Work & Career|noun
grassroots|General|adjective
gross income|Business & Finance|noun
growth rate|Business & Finance|noun
habitat|Science|noun
impact assessment|General|noun
income gap|Business & Finance|noun
inflation rate|Business & Finance|noun
innovation|Technology|noun
integrated|General|adjective
interdependence|General|noun
labor market|Work & Career|noun
lobbying|General|noun
market forces|Business & Finance|noun
media literacy|Education|noun
mental health|Health|noun
microeconomics|Business & Finance|noun
monetary|Business & Finance|adjective
multilingual|Education|adjective
natural resources|Science|noun
non-governmental|General|adjective
occupational|Work & Career|adjective
online learning|Education|noun
outreach|General|noun
peer pressure|General|noun
pension fund|Business & Finance|noun
political asylum|General|noun
power dynamics|General|noun
public health|Health|noun
quotation|Business & Finance|noun
redistribution|Business & Finance|noun
regional development|General|noun
remote work|Work & Career|noun
renewable energy|Science|noun
rigorous|Education|adjective
risk management|Business & Finance|noun
self-employment|Work & Career|noun
service sector|Business & Finance|noun
shared economy|Business & Finance|noun
skills gap|Work & Career|noun
social capital|General|noun
supply and demand|Business & Finance|noun
sustainable development|Science|noun
systemic|General|adjective
tax reform|Business & Finance|noun
trade agreement|Business & Finance|noun
urban development|General|noun
urbanization|General|noun
user experience|Technology|noun
value chain|Business & Finance|noun
vocational training|Education|noun
waste management|Science|noun
work-life balance|Work & Career|noun

abstract reasoning|Education|noun
academic integrity|Education|noun
adequacy|General|noun
adjudication|General|noun
advanced degree|Education|noun
affirmative action|General|noun
aggregate|Business & Finance|noun
agility|Work & Career|noun
algorithmic|Technology|adjective
alternative energy|Science|noun
ameliorate|General|verb
amnesty|General|noun
ample|General|adjective
analogy|General|noun
anarchism|General|noun
annual leave|Work & Career|noun
antagonism|General|noun
anticorruption|General|noun
antidote|Health|noun
antiquated|General|adjective
apparatus|General|noun
arid|Science|adjective
assertion|General|noun
asymmetrical|Science|adjective
atypical|General|adjective
audit trail|Business & Finance|noun
balanced budget|Business & Finance|noun
behavioral change|General|noun
